TargetID,StoreID,CategoryID,SalespersonID,YearNumber,MonthNumber,TargetAmount
1,1,1,NULL,2025,1,74673006.00
2,2,1,NULL,2025,1,73252136.00
3,3,1,NULL,2025,1,65792309.00
4,4,1,NULL,2025,1,95368204.00
5,5,1,NULL,2025,1,77534297.00
6,6,1,NULL,2025,1,78151369.00
7,7,1,NULL,2025,1,50125066.00
8,8,1,NULL,2025,1,56367820.00
9,9,1,NULL,2025,1,52932493.00
10,10,1,NULL,2025,1,67992118.00
11,1,2,NULL,2025,1,95129391.00
12,2,2,NULL,2025,1,98249666.00
13,3,2,NULL,2025,1,83622179.00
14,4,2,NULL,2025,1,58212678.00
15,5,2,NULL,2025,1,56247533.00
16,6,2,NULL,2025,1,64862970.00
17,7,2,NULL,2025,1,70689788.00
18,8,2,NULL,2025,1,51807743.00
19,9,2,NULL,2025,1,99914152.00
20,10,2,NULL,2025,1,90533667.00
21,1,3,NULL,2025,1,77686396.00
22,2,3,NULL,2025,1,60897349.00
23,3,3,NULL,2025,1,81702334.00
24,4,3,NULL,2025,1,95306065.00
25,5,3,NULL,2025,1,80154214.00
26,6,3,NULL,2025,1,84279399.00
27,7,3,NULL,2025,1,88945838.00
28,8,3,NULL,2025,1,83752505.00
29,9,3,NULL,2025,1,79654723.00
30,10,3,NULL,2025,1,80005413.00
31,1,4,NULL,2025,1,94974167.00
32,2,4,NULL,2025,1,54897576.00
33,3,4,NULL,2025,1,50094050.00
34,4,4,NULL,2025,1,84788950.00
35,5,4,NULL,2025,1,76292343.00
36,6,4,NULL,2025,1,92564889.00
37,7,4,NULL,2025,1,71259359.00
38,8,4,NULL,2025,1,82477403.00
39,9,4,NULL,2025,1,84753472.00
40,10,4,NULL,2025,1,53262408.00
41,1,5,NULL,2025,1,77284466.00
42,2,5,NULL,2025,1,78892126.00
43,3,5,NULL,2025,1,90041416.00
44,4,5,NULL,2025,1,66408807.00
45,5,5,NULL,2025,1,95297039.00
46,6,5,NULL,2025,1,66999544.00
47,7,5,NULL,2025,1,56259634.00
